created_date,account_name,campaign_objective,impressions,reach,clicks,link_clicks,content_views,add_to_cart,purchase,purchase_value,amount_spent,month,is_weekend,is_ramadhan,client_name,industry,ctr_percentage,cpc,cvr_percentage,roas,aov,cpr
2023-01-01,Client A - Fashion,Traffic,915434,81436,92554,15544,0,0,0,0.0,2357742.0,2023-01,True,False,Client A,Fashion,10.11,152.0,0.0,0.0,0.0,0.0
2023-01-01,Client C - Fashion,Sales,354328,145859,96735,37656,4631,883,660,7488363.0,2596667.0,2023-01,True,False,Client C,Fashion,27.3,69.0,1.75,2.88,11346.0,3934.0
2023-01-01,Client D - Beauty,Traffic,398802,312412,53337,39997,0,0,0,0.0,2916194.0,2023-01,True,False,Client D,Beauty,13.37,73.0,0.0,0.0,0.0,0.0
2023-01-01,Client D - Beauty,Sales,611751,474542,95019,21756,1828,965,666,2856081.0,300873.0,2023-01,True,False,Client D,Beauty,15.53,14.0,3.06,9.49,4288.0,452.0
2023-01-01,Client E - FMCG,Traffic,812814,281770,64278,31165,0,0,0,0.0,497149.0,2023-01,True,False,Client E,FMCG,7.91,16.0,0.0,0.0,0.0,0.0
2023-01-01,Client F - FMCG,Traffic,800756,365581,74938,39395,0,0,0,0.0,3565444.0,2023-01,True,False,Client F,FMCG,9.36,91.0,0.0,0.0,0.0,0.0
2023-01-01,Client F - FMCG,Sales,948794,156879,77153,41240,5956,170,263,6858864.0,3587307.0,2023-01,True,False,Client F,FMCG,8.13,87.0,0.64,1.91,26079.0,13640.0
2023-01-02,Client A - Fashion,Traffic,994501,335855,42896,35382,0,0,0,0.0,2351309.0,2023-01,False,False,Client A,Fashion,4.31,66.0,0.0,0.0,0.0,0.0
2023-01-02,Client B - Beauty,Traffic,693535,221143,62169,44965,0,0,0,0.0,4616928.0,2023-01,False,False,Client B,Beauty,8.96,103.0,0.0,0.0,0.0,0.0
2023-01-02,Client C - Fashion,Traffic,806625,61086,64744,27259,0,0,0,0.0,4508466.0,2023-01,False,False,Client C,Fashion,8.03,165.0,0.0,0.0,0.0,0.0
2023-01-02,Client C - Fashion,Sales,347191,191117,50789,37703,1349,519,737,445946.0,2577918.0,2023-01,False,False,Client C,Fashion,14.63,68.0,1.95,0.17,605.0,3498.0
2023-01-02,Client D - Beauty,Traffic,243038,232593,78687,26629,0,0,0,0.0,4826732.0,2023-01,False,False,Client D,Beauty,32.38,181.0,0.0,0.0,0.0,0.0
